day_of_year,hours_of_use,daily_use,sensor_type_strong,sensor_type_medium,sensor_type_weak,ac_type_central,ac_type_split,ac_type_window,ac_type_portable,maintenance_needed
88,12,3,False,False,True,True,False,False,False,0
310,9,4,True,False,False,False,False,False,True,1
210,17,4,False,True,False,True,False,False,False,1
183,16,11,False,False,True,False,True,False,False,0
83,4,8,True,False,False,False,False,True,False,1
233,20,9,True,False,False,False,False,False,True,0
128,11,6,False,True,False,False,False,False,True,1
167,9,3,True,False,False,False,False,True,False,0
59,13,11,False,True,False,False,True,False,False,1
162,7,2,False,True,False,False,True,False,False,1
73,16,12,False,True,False,False,True,False,False,1
82,1,3,True,False,False,False,True,False,False,0
206,0,1,False,False,True,False,False,True,False,1
291,1,9,False,False,True,False,False,False,True,1
15,14,3,False,True,False,True,False,False,False,0
25,19,2,False,True,False,False,False,False,True,1
14,4,1,True,False,False,False,False,True,False,0
305,4,9,False,True,False,False,False,True,False,0
216,20,1,False,False,True,True,False,False,False,1
158,19,12,False,True,False,False,False,True,False,0
164,8,12,True,False,False,False,False,True,False,1
267,12,8,False,True,False,False,False,False,True,0
264,17,4,True,False,False,False,False,True,False,1
298,3,1,False,False,True,True,False,False,False,0
314,6,5,True,False,False,False,True,False,False,1
204,20,5,False,False,True,False,False,False,True,1
117,19,5,False,True,False,True,False,False,False,1
87,5,4,True,False,False,False,True,False,False,1
233,12,1,True,False,False,False,True,False,False,0
295,0,2,False,False,True,False,True,False,False,0
45,17,2,False,True,False,False,False,True,False,0
313,22,9,False,False,True,False,False,True,False,1
332,23,11,True,False,False,False,True,False,False,0
195,13,2,False,False,True,False,False,False,True,0
273,22,7,True,False,False,False,False,True,False,1
162,17,11,False,True,False,False,False,False,True,1
265,0,4,True,False,False,False,False,False,True,1
206,2,10,True,False,False,False,True,False,False,0
99,2,12,False,False,True,True,False,False,False,0
25,7,2,True,False,False,False,False,True,False,1
201,20,8,True,False,False,False,False,True,False,1
323,21,12,True,False,False,False,False,False,True,1
147,14,4,False,False,True,True,False,False,False,1
47,19,6,False,False,True,False,False,False,True,0
288,1,8,True,False,False,False,True,False,False,0
286,10,4,False,True,False,False,False,True,False,0
330,16,11,False,False,True,False,False,False,True,0
350,4,5,True,False,False,False,True,False,False,0
354,11,11,False,True,False,False,False,False,True,1
95,17,1,False,True,False,False,False,False,True,0
125,9,11,False,True,False,False,True,False,False,0
294,19,12,False,False,True,False,False,False,True,0
59,8,5,False,True,False,False,True,False,False,0
277,10,3,False,False,True,False,False,True,False,1
63,10,8,True,False,False,False,False,False,True,0
10,23,3,True,False,False,False,True,False,False,0
173,22,4,True,False,False,True,False,False,False,1
89,11,1,False,True,False,True,False,False,False,1
149,9,3,True,False,False,False,False,True,False,1
326,13,6,True,False,False,False,False,False,True,0
129,6,7,True,False,False,False,False,False,True,0
313,13,12,False,False,True,False,True,False,False,1
282,11,11,True,False,False,False,False,True,False,1
214,13,12,False,False,True,False,False,True,False,1
360,3,2,True,False,False,False,False,True,False,0
209,0,11,False,True,False,False,False,False,True,1
283,22,10,True,False,False,True,False,False,False,1
146,14,1,True,False,False,False,False,True,False,0
356,16,4,True,False,False,False,False,False,True,0
197,5,11,False,False,True,False,False,False,True,1
52,16,5,False,True,False,False,False,True,False,1
220,21,11,False,True,False,True,False,False,False,1
177,13,5,True,False,False,True,False,False,False,0
25,11,12,False,True,False,True,False,False,False,1
357,3,8,False,False,True,False,False,False,True,1
294,12,3,True,False,False,True,False,False,False,0
52,1,5,True,False,False,False,False,True,False,0
349,15,9,True,False,False,False,True,False,False,0
78,18,10,False,True,False,False,True,False,False,1
251,16,4,False,True,False,False,False,True,False,0
88,12,3,True,False,False,False,False,False,True,1
302,2,3,False,False,True,False,False,False,True,1
211,16,3,True,False,False,False,True,False,False,1
150,2,3,True,False,False,False,False,False,True,1
94,22,4,False,False,True,False,False,False,True,0
301,23,2,False,False,True,False,False,False,True,0
145,11,7,True,False,False,False,False,True,False,1
49,15,12,False,True,False,False,False,True,False,1
353,23,1,True,False,False,False,False,True,False,1
227,8,9,False,True,False,False,False,True,False,1
44,7,3,False,False,True,False,False,True,False,0
273,4,9,False,False,True,True,False,False,False,1
215,18,10,False,True,False,False,False,False,True,1
94,8,5,True,False,False,True,False,False,False,1
9,10,7,False,True,False,False,False,False,True,0
297,16,9,False,False,True,False,False,False,True,1
235,21,12,True,False,False,False,True,False,False,0
27,4,2,False,True,False,False,True,False,False,0
269,1,12,False,False,True,False,False,True,False,1
142,10,3,False,True,False,False,True,False,False,1
267,9,2,False,False,True,False,False,False,True,0
5,4,3,True,False,False,False,False,False,True,1
99,13,4,False,True,False,False,False,False,True,0
218,3,7,False,True,False,True,False,False,False,1
28,1,12,False,False,True,False,False,False,True,0
92,19,6,False,False,True,False,False,False,True,0
359,17,2,True,False,False,False,False,True,False,1
305,8,3,False,True,False,True,False,False,False,0
17,21,6,False,True,False,False,True,False,False,0
11,3,7,True,False,False,True,False,False,False,0
164,20,6,False,False,True,True,False,False,False,0
212,7,8,False,False,True,False,False,False,True,1
365,21,6,False,True,False,False,True,False,False,0
8,23,3,True,False,False,False,True,False,False,1
142,5,4,False,True,False,False,True,False,False,0
261,15,5,False,True,False,True,False,False,False,0
309,22,10,False,True,False,False,True,False,False,1
301,1,10,True,False,False,True,False,False,False,0
342,4,9,True,False,False,True,False,False,False,0
245,3,4,False,False,True,True,False,False,False,1
68,4,12,False,True,False,False,False,True,False,1
161,7,2,False,False,True,False,True,False,False,1
201,19,3,False,True,False,False,True,False,False,0
72,2,1,True,False,False,False,False,False,True,0
190,1,1,False,False,True,False,False,True,False,1
72,2,8,False,False,True,False,False,True,False,0
104,17,3,False,False,True,True,False,False,False,0
71,14,9,False,True,False,False,False,False,True,1
86,11,7,False,False,True,True,False,False,False,1
84,12,11,True,False,False,False,False,False,True,1
144,22,6,False,True,False,False,False,False,True,1
96,11,4,False,False,True,True,False,False,False,1
242,15,3,True,False,False,False,False,False,True,1
327,15,8,False,True,False,False,False,True,False,1
191,13,2,False,True,False,False,True,False,False,0
134,11,10,True,False,False,False,False,True,False,1
290,12,2,False,True,False,False,False,False,True,1
10,23,11,True,False,False,False,False,True,False,1
225,2,1,True,False,False,False,False,False,True,1
358,2,3,False,True,False,True,False,False,False,0
38,5,7,False,True,False,False,False,True,False,1
274,3,5,False,True,False,False,False,True,False,0
205,17,2,False,True,False,False,True,False,False,1
13,3,1,False,True,False,False,False,False,True,1
276,18,1,True,False,False,False,False,True,False,0
281,3,4,False,True,False,False,False,True,False,0
38,20,9,False,True,False,False,False,True,False,1
177,23,12,True,False,False,False,True,False,False,0
185,19,3,False,False,True,False,True,False,False,0
148,19,3,True,False,False,False,True,False,False,0
79,11,10,False,True,False,False,False,True,False,0
63,14,7,True,False,False,False,False,False,True,1
251,12,12,False,True,False,False,True,False,False,0
12,23,11,False,False,True,False,False,False,True,1
93,21,5,False,True,False,False,False,True,False,1
200,14,9,False,True,False,False,False,False,True,1
259,21,9,False,True,False,False,True,False,False,1
123,1,12,True,False,False,False,False,False,True,1
329,22,6,True,False,False,False,False,True,False,0
149,14,6,False,True,False,True,False,False,False,1
284,16,1,False,True,False,True,False,False,False,1
92,20,6,False,False,True,True,False,False,False,0
192,4,9,True,False,False,True,False,False,False,1
287,16,12,True,False,False,False,False,True,False,0
329,1,9,True,False,False,False,False,True,False,1
16,15,12,False,False,True,False,False,True,False,1
53,16,1,False,True,False,True,False,False,False,1
255,2,7,False,True,False,False,True,False,False,1
147,22,3,True,False,False,False,True,False,False,0
21,13,8,True,False,False,True,False,False,False,0
146,23,12,False,False,True,True,False,False,False,1
13,21,5,False,False,True,True,False,False,False,1
111,6,5,False,False,True,False,False,True,False,1
260,16,2,False,True,False,False,False,False,True,1
74,9,2,False,True,False,False,True,False,False,0
69,18,1,True,False,False,True,False,False,False,0
44,2,4,False,True,False,True,False,False,False,0
80,20,11,True,False,False,True,False,False,False,1
159,1,1,True,False,False,True,False,False,False,1
145,10,10,True,False,False,False,False,True,False,0
221,7,2,True,False,False,False,False,False,True,0
134,12,8,True,False,False,False,False,False,True,1
336,4,12,False,True,False,False,False,True,False,1
2,16,12,True,False,False,False,False,False,True,0
28,6,3,False,False,True,False,True,False,False,0
298,14,9,False,True,False,False,True,False,False,0
213,6,11,False,False,True,False,False,False,True,1
145,22,9,False,True,False,False,False,True,False,1
13,20,10,False,False,True,False,False,True,False,1
49,11,1,False,False,True,True,False,False,False,1
196,13,5,True,False,False,False,False,True,False,0
333,23,6,True,False,False,False,False,False,True,1
14,16,9,False,False,True,False,True,False,False,1
29,9,10,False,True,False,False,True,False,False,1
155,16,7,False,False,True,False,False,True,False,1
288,0,9,True,False,False,False,False,True,False,0
345,10,5,True,False,False,False,False,True,False,0
360,4,7,False,True,False,False,True,False,False,0
51,12,9,True,False,False,True,False,False,False,0
230,7,10,True,False,False,False,False,False,True,1
63,6,6,True,False,False,False,False,False,True,1
65,0,4,False,True,False,False,False,False,True,1
110,4,3,True,False,False,True,False,False,False,0
153,4,4,False,True,False,False,False,True,False,0
310,17,7,False,True,False,True,False,False,False,0
138,10,9,False,True,False,False,False,True,False,0
160,10,1,False,False,True,True,False,False,False,1
294,0,7,True,False,False,False,True,False,False,1
264,11,6,True,False,False,False,True,False,False,0
5,19,4,False,True,False,False,False,False,True,0
185,20,1,True,False,False,False,False,True,False,0
213,14,6,False,True,False,False,False,True,False,1
57,10,2,False,False,True,False,True,False,False,1
43,10,10,True,False,False,True,False,False,False,0
119,23,10,True,False,False,False,False,False,True,0
153,1,8,False,True,False,False,False,True,False,0
314,15,1,False,False,True,False,True,False,False,1
352,6,12,True,False,False,False,False,False,True,0
131,17,1,False,True,False,True,False,False,False,0
57,7,7,False,False,True,False,True,False,False,0
230,2,3,True,False,False,True,False,False,False,1
302,21,10,True,False,False,True,False,False,False,0
154,18,1,True,False,False,False,False,True,False,0
42,17,4,False,False,True,False,False,False,True,1
156,20,10,True,False,False,True,False,False,False,1
308,6,11,True,False,False,False,False,False,True,1
159,2,5,True,False,False,False,False,True,False,0
257,6,11,True,False,False,False,False,True,False,1
364,4,9,False,False,True,True,False,False,False,1
52,14,4,False,False,True,False,False,False,True,1
295,23,3,True,False,False,False,False,True,False,0
246,12,1,False,True,False,False,False,False,True,0
101,23,3,False,True,False,False,True,False,False,0
10,2,1,True,False,False,True,False,False,False,0
272,15,9,False,False,True,True,False,False,False,1
228,20,6,False,True,False,False,False,False,True,1
362,12,4,True,False,False,False,False,True,False,0
152,17,5,True,False,False,False,True,False,False,0
226,19,7,True,False,False,False,True,False,False,1
162,16,4,True,False,False,False,False,True,False,1
287,12,10,True,False,False,False,False,False,True,0
9,17,1,False,True,False,False,False,True,False,0
346,5,2,False,False,True,False,True,False,False,0
356,7,10,True,False,False,True,False,False,False,0
25,8,12,False,False,True,False,False,True,False,1
121,23,12,False,True,False,False,True,False,False,1
102,14,3,False,True,False,True,False,False,False,0
112,7,2,False,False,True,False,True,False,False,1
146,11,11,True,False,False,True,False,False,False,1
25,16,7,False,False,True,True,False,False,False,1
161,19,9,False,True,False,False,False,False,True,0
334,9,4,False,False,True,False,True,False,False,0
276,9,11,True,False,False,True,False,False,False,0
213,17,11,True,False,False,False,False,False,True,0
205,6,7,False,False,True,True,False,False,False,0
325,11,11,False,False,True,False,False,False,True,1
354,21,5,False,True,False,False,False,True,False,0
334,6,3,False,False,True,False,False,True,False,0
247,21,8,True,False,False,False,False,False,True,1
78,17,6,True,False,False,False,True,False,False,0
138,22,5,False,False,True,False,True,False,False,1
58,2,1,True,False,False,True,False,False,False,0
71,0,6,False,False,True,False,True,False,False,1
123,13,9,False,True,False,False,False,True,False,1
330,1,9,False,True,False,False,False,False,True,1
153,7,11,False,True,False,False,True,False,False,1
53,17,5,True,False,False,False,False,True,False,1
119,11,6,False,True,False,False,False,False,True,0
335,14,12,True,False,False,False,False,True,False,1
98,7,1,False,True,False,False,False,False,True,0
327,20,7,True,False,False,True,False,False,False,0
150,0,4,False,True,False,False,False,True,False,1
268,3,12,False,False,True,False,False,False,True,1
123,7,2,True,False,False,True,False,False,False,0
311,8,6,True,False,False,False,False,False,True,1
326,21,2,False,False,True,True,False,False,False,0
54,9,3,False,False,True,False,True,False,False,0
228,19,12,True,False,False,False,True,False,False,1
161,21,12,False,False,True,True,False,False,False,0
26,9,11,False,False,True,True,False,False,False,1
214,12,9,False,False,True,True,False,False,False,1
117,18,2,False,False,True,False,False,False,True,1
157,15,9,False,False,True,False,True,False,False,1
357,21,7,False,True,False,False,False,False,True,0
37,1,7,True,False,False,True,False,False,False,0
358,13,5,False,False,True,True,False,False,False,1
15,15,1,True,False,False,False,False,True,False,1
309,3,3,False,False,True,False,True,False,False,1
17,11,5,True,False,False,False,False,True,False,1
19,9,5,False,True,False,True,False,False,False,0
321,21,9,False,True,False,False,False,True,False,1
97,14,7,True,False,False,False,False,False,True,0
323,16,11,False,False,True,False,False,False,True,1
219,1,1,False,False,True,True,False,False,False,0
199,14,1,False,False,True,False,False,True,False,1
234,13,9,False,False,True,False,False,True,False,1
306,1,3,True,False,False,False,True,False,False,0
177,12,10,False,True,False,False,False,True,False,1
38,1,5,False,False,True,False,False,False,True,1
94,16,8,True,False,False,False,False,False,True,0
49,1,3,False,True,False,False,False,True,False,0
338,20,1,False,True,False,False,False,False,True,1
243,8,1,False,False,True,False,False,True,False,1
323,5,9,True,False,False,False,False,False,True,0
143,9,12,False,False,True,False,False,False,True,0
167,20,7,False,True,False,False,False,False,True,1
237,10,6,True,False,False,False,True,False,False,1
166,14,9,False,True,False,False,False,True,False,1
91,1,7,True,False,False,False,True,False,False,1
342,3,4,False,False,True,False,False,True,False,1
89,20,4,True,False,False,False,False,True,False,1
132,10,4,True,False,False,False,True,False,False,0
132,12,4,True,False,False,False,True,False,False,1
66,3,3,False,True,False,False,True,False,False,1
14,20,12,True,False,False,False,False,True,False,0
69,10,9,True,False,False,True,False,False,False,0
243,12,3,False,True,False,False,False,False,True,1
206,9,6,False,True,False,False,False,False,True,0
287,15,9,False,False,True,False,False,True,False,1
271,21,11,False,True,False,False,False,True,False,0
193,4,1,False,True,False,True,False,False,False,0
240,2,10,False,False,True,False,False,True,False,1
328,22,8,True,False,False,True,False,False,False,1
73,8,2,False,False,True,True,False,False,False,0
281,4,9,False,False,True,False,False,False,True,0
213,9,3,False,False,True,False,False,True,False,1
359,2,11,False,True,False,False,False,False,True,1
128,20,1,False,True,False,False,False,True,False,0
40,11,7,False,True,False,False,False,True,False,0
281,17,8,False,True,False,True,False,False,False,0
362,1,2,False,True,False,False,False,True,False,1
285,12,1,True,False,False,False,True,False,False,0
252,21,7,False,True,False,True,False,False,False,1
200,7,11,False,False,True,True,False,False,False,1
204,16,5,True,False,False,True,False,False,False,0
188,5,9,False,False,True,True,False,False,False,0
197,20,9,False,True,False,False,False,False,True,0
132,12,11,False,True,False,False,False,False,True,1
277,21,4,False,False,True,False,True,False,False,0
210,23,1,False,True,False,True,False,False,False,1
8,19,11,False,False,True,True,False,False,False,1
199,5,8,True,False,False,True,False,False,False,0
191,1,8,False,False,True,True,False,False,False,1
235,18,11,False,True,False,True,False,False,False,0
160,12,4,False,True,False,False,False,False,True,1
165,5,8,False,False,True,False,False,False,True,1
142,3,1,True,False,False,True,False,False,False,0
82,10,10,True,False,False,False,False,False,True,0
62,6,10,False,True,False,False,True,False,False,0
246,11,1,False,False,True,False,False,False,True,1
79,11,1,False,False,True,False,False,False,True,1
309,22,9,True,False,False,False,False,False,True,1
25,12,3,False,False,True,False,False,True,False,1
162,8,5,False,False,True,False,True,False,False,0
174,20,3,False,False,True,False,True,False,False,1
104,11,7,False,True,False,False,False,True,False,0
200,18,2,True,False,False,False,False,False,True,1
108,14,4,False,False,True,False,True,False,False,1
157,9,2,True,False,False,True,False,False,False,0
200,11,11,False,False,True,False,True,False,False,1
213,2,7,False,False,True,False,False,False,True,0
331,5,2,False,True,False,False,False,False,True,0
108,19,6,True,False,False,False,False,True,False,1
241,19,7,False,True,False,False,True,False,False,1
231,14,3,True,False,False,False,True,False,False,0
44,3,9,False,False,True,False,False,False,True,1
269,16,1,False,False,True,False,False,True,False,1
360,19,6,True,False,False,False,False,True,False,1
246,19,2,False,True,False,True,False,False,False,1
149,13,12,True,False,False,False,False,True,False,1
3,20,1,False,True,False,False,True,False,False,1
340,0,12,False,False,True,False,False,True,False,1
302,21,12,False,True,False,False,False,False,True,1
166,11,5,True,False,False,False,False,False,True,1
208,4,1,False,False,True,False,True,False,False,1
327,12,10,False,True,False,True,False,False,False,1
123,8,5,False,False,True,False,False,False,True,1
226,2,5,False,True,False,False,True,False,False,0
225,5,12,False,False,True,False,False,True,False,1
213,14,7,True,False,False,True,False,False,False,0
225,9,6,False,True,False,True,False,False,False,1
195,15,8,False,False,True,False,False,True,False,1
219,23,11,False,False,True,False,False,True,False,1
13,10,4,False,True,False,False,False,True,False,1
93,7,1,False,False,True,False,True,False,False,1
334,20,3,False,False,True,True,False,False,False,1
35,23,7,False,True,False,False,True,False,False,0
106,12,12,False,False,True,False,False,False,True,1
267,1,2,True,False,False,False,False,True,False,1
165,19,9,True,False,False,False,False,True,False,0
217,14,11,False,True,False,False,True,False,False,0
223,8,11,False,False,True,False,False,False,True,1
120,2,4,True,False,False,False,False,True,False,1
94,22,12,False,False,True,False,False,False,True,1
216,22,4,False,False,True,True,False,False,False,0
10,6,11,False,False,True,True,False,False,False,1
62,12,9,True,False,False,False,False,True,False,1
340,19,8,True,False,False,True,False,False,False,1
103,23,3,True,False,False,False,False,False,True,1
28,2,10,True,False,False,False,False,False,True,1
239,17,7,False,True,False,False,False,True,False,1
238,5,6,False,False,True,False,True,False,False,1
173,0,6,False,True,False,False,True,False,False,0
283,3,7,True,False,False,False,False,True,False,1
303,1,9,False,True,False,False,True,False,False,0
183,18,4,True,False,False,False,True,False,False,0
319,6,11,False,True,False,True,False,False,False,1
246,7,10,True,False,False,True,False,False,False,1
59,21,8,True,False,False,False,False,True,False,1
116,1,9,False,False,True,True,False,False,False,0
144,20,4,False,False,True,True,False,False,False,1
353,0,1,True,False,False,True,False,False,False,1
256,2,9,True,False,False,False,False,True,False,0
141,7,4,False,False,True,False,False,False,True,1
272,1,4,True,False,False,True,False,False,False,0
159,12,1,True,False,False,False,False,False,True,0
188,18,11,True,False,False,False,True,False,False,0
179,22,10,False,True,False,True,False,False,False,0
167,9,8,False,False,True,False,False,False,True,1
294,3,5,False,False,True,False,False,True,False,1
282,21,8,False,False,True,False,False,True,False,1
204,2,1,False,False,True,False,False,False,True,0
178,6,3,False,True,False,False,False,True,False,0
48,19,12,False,False,True,True,False,False,False,1
282,17,9,False,False,True,False,False,False,True,0
304,1,8,False,False,True,True,False,False,False,1
246,19,9,False,True,False,True,False,False,False,1
270,14,6,False,False,True,False,False,True,False,1
143,11,5,False,True,False,False,True,False,False,0
164,10,11,True,False,False,False,False,False,True,0
146,8,4,False,True,False,False,True,False,False,0
276,6,5,True,False,False,False,True,False,False,0
216,9,2,False,False,True,False,False,True,False,1
286,1,8,True,False,False,False,False,True,False,1
185,20,5,False,False,True,False,False,True,False,1
38,5,4,False,False,True,False,False,True,False,1
269,10,3,True,False,False,False,False,True,False,0
293,8,6,False,False,True,False,False,True,False,1
181,7,5,False,False,True,False,False,True,False,1
255,19,12,True,False,False,False,False,True,False,1
235,23,7,False,False,True,True,False,False,False,1
184,18,4,False,True,False,False,True,False,False,1
352,22,8,False,False,True,False,True,False,False,0
53,16,5,False,True,False,False,True,False,False,1
189,20,4,False,True,False,False,False,False,True,0
318,22,12,False,True,False,False,False,True,False,1
326,3,6,False,False,True,False,False,False,True,0
296,6,6,False,False,True,True,False,False,False,0
98,16,11,False,True,False,False,False,True,False,1
265,0,2,True,False,False,True,False,False,False,0
42,1,1,True,False,False,False,True,False,False,0
262,6,4,False,False,True,False,False,False,True,0
67,3,9,False,False,True,False,False,True,False,0
3,3,3,False,False,True,False,False,False,True,1
192,1,7,True,False,False,False,True,False,False,1
155,4,11,False,False,True,True,False,False,False,1
116,19,12,False,False,True,False,True,False,False,1
345,18,8,False,True,False,True,False,False,False,1
153,2,11,False,True,False,False,True,False,False,0
242,22,9,False,False,True,True,False,False,False,1
282,15,5,False,True,False,False,False,True,False,1
26,9,3,False,False,True,False,False,True,False,1
74,7,10,True,False,False,False,True,False,False,0
88,1,9,False,True,False,False,False,False,True,0
288,17,10,False,False,True,True,False,False,False,1
217,16,9,True,False,False,False,False,False,True,0
70,15,10,False,False,True,False,True,False,False,1
279,13,2,False,False,True,False,False,True,False,1
342,21,6,False,False,True,False,False,True,False,0
246,11,12,True,False,False,True,False,False,False,0
327,22,11,True,False,False,True,False,False,False,0
35,16,10,True,False,False,True,False,False,False,1
214,12,10,False,True,False,False,True,False,False,1
308,16,8,True,False,False,False,False,False,True,1
30,22,12,True,False,False,False,False,False,True,0
347,7,6,False,False,True,False,False,True,False,0
35,7,8,False,True,False,True,False,False,False,0
313,5,11,False,False,True,False,False,False,True,0
102,2,7,False,True,False,False,True,False,False,0
178,4,10,True,False,False,False,False,False,True,1
318,13,10,False,False,True,True,False,False,False,1
10,13,5,False,True,False,False,True,False,False,1
330,14,6,False,False,True,True,False,False,False,0
6,20,8,False,True,False,False,False,False,True,1
142,16,12,True,False,False,False,False,False,True,1
211,3,10,True,False,False,False,False,True,False,1
266,12,11,True,False,False,False,True,False,False,1
353,5,11,False,False,True,False,False,False,True,1
223,15,3,False,False,True,False,True,False,False,1
317,6,5,False,True,False,False,False,True,False,1
348,16,9,False,True,False,False,True,False,False,1
71,6,5,False,False,True,False,False,False,True,1
227,18,7,True,False,False,False,False,False,True,1
57,2,11,False,True,False,False,False,True,False,1
120,8,10,False,False,True,False,True,False,False,1
281,18,8,False,True,False,True,False,False,False,1
163,7,6,False,True,False,False,False,False,True,0
131,22,9,True,False,False,False,True,False,False,1
54,19,10,True,False,False,False,False,False,True,1
365,9,12,True,False,False,True,False,False,False,1
39,11,9,False,False,True,False,False,True,False,1
251,13,4,False,False,True,False,False,True,False,1
139,9,2,False,True,False,False,True,False,False,0
247,17,1,False,False,True,False,False,False,True,0
311,9,3,False,True,False,False,False,True,False,1
54,21,10,False,True,False,True,False,False,False,1
340,20,12,True,False,False,True,False,False,False,1
120,13,6,False,False,True,True,False,False,False,0
181,21,8,False,False,True,False,True,False,False,1
50,15,8,False,False,True,True,False,False,False,0
110,6,3,True,False,False,False,False,True,False,0
144,21,6,False,True,False,True,False,False,False,1
316,23,11,False,True,False,False,True,False,False,0
324,13,5,False,True,False,False,False,False,True,0
184,17,10,True,False,False,False,False,True,False,0
363,21,1,True,False,False,False,True,False,False,1
21,14,9,False,True,False,False,False,True,False,1
129,4,3,False,True,False,False,True,False,False,0
334,5,8,False,False,True,False,False,False,True,1
135,3,5,True,False,False,False,True,False,False,0
102,0,5,False,True,False,True,False,False,False,1
280,1,3,False,True,False,False,False,True,False,1
288,4,12,False,True,False,True,False,False,False,0
198,16,6,True,False,False,False,False,True,False,1
26,12,3,True,False,False,False,False,True,False,0
238,1,12,False,False,True,False,False,False,True,1
215,5,1,False,True,False,False,False,False,True,1
93,22,9,True,False,False,False,True,False,False,1
114,7,6,False,True,False,False,False,True,False,1
255,1,11,False,True,False,False,False,False,True,0
212,9,11,False,False,True,False,True,False,False,1
271,16,12,False,False,True,True,False,False,False,0
326,23,7,False,True,False,False,True,False,False,1
84,18,6,False,True,False,False,True,False,False,1
321,21,11,True,False,False,False,False,True,False,1
246,5,10,False,True,False,False,False,False,True,1
312,22,7,False,True,False,True,False,False,False,0
22,21,2,False,True,False,False,False,True,False,0
107,3,2,False,True,False,False,False,True,False,0
226,9,10,True,False,False,False,False,False,True,1
221,11,4,True,False,False,False,False,False,True,1
183,13,3,False,False,True,False,False,True,False,1
20,11,11,False,True,False,False,True,False,False,1
16,8,12,False,False,True,True,False,False,False,0
229,1,10,False,False,True,True,False,False,False,1
279,14,6,False,False,True,False,False,True,False,0
214,8,6,True,False,False,False,True,False,False,0
363,21,5,True,False,False,False,False,False,True,1
36,20,10,False,False,True,False,False,False,True,0
170,3,9,False,True,False,False,True,False,False,0
184,7,10,False,False,True,False,False,False,True,0
312,18,8,True,False,False,True,False,False,False,0
213,15,4,True,False,False,False,False,False,True,1
338,22,4,False,False,True,True,False,False,False,0
285,0,7,True,False,False,False,False,True,False,1
263,3,4,True,False,False,False,False,False,True,0
