date,temperature,window_open,ac_setting,season,day_of_year
2023-02-13,3.2,0,22.2,Winter,44
2023-02-14,-0.2,0,23.6,Winter,45
2023-02-15,2.3,0,23.7,Winter,46
2023-02-16,3.3,0,20.2,Winter,47
2023-02-17,8.0,0,20.3,Winter,48
2023-02-18,6.1,0,21.0,Winter,49
2023-02-19,-0.1,0,21.0,Winter,50
2023-02-20,6.4,0,20.4,Winter,51
2023-02-21,4.5,0,21.6,Winter,52
2023-02-22,3.8,0,22.4,Winter,53
2023-02-23,7.9,0,22.3,Winter,54
2023-02-24,9.3,0,22.2,Winter,55
2023-02-25,9.2,0,21.4,Winter,56
2023-02-26,4.1,0,22.8,Winter,57
2023-02-27,5.9,0,23.3,Winter,58
2023-02-28,8.1,0,21.4,Winter,59
2023-03-01,10.2,0,20.4,Winter,60
2023-03-02,6.1,0,21.2,Winter,61
2023-03-03,7.2,0,20.5,Winter,62
2023-03-04,4.7,0,21.9,Winter,63
2023-03-05,4.6,0,20.6,Winter,64
2023-03-06,10.9,0,20.3,Winter,65
2023-03-07,12.8,0,21.0,Winter,66
2023-03-08,8.7,0,23.0,Winter,67
2023-03-09,12.2,0,21.4,Winter,68
2023-03-10,10.5,0,19.5,Winter,69
2023-03-11,7.7,0,20.7,Winter,70
2023-03-12,11.0,0,21.3,Winter,71
2023-03-13,14.7,0,19.0,Winter,72
2023-03-14,10.3,0,19.8,Winter,73
2023-03-15,15.3,0,18.8,Winter,74
2023-03-16,3.0,0,22.7,Winter,75
2023-03-17,13.6,0,19.6,Winter,76
2023-03-18,11.6,0,18.8,Winter,77
2023-03-19,10.7,0,20.8,Winter,78
2023-03-20,12.1,0,19.0,Winter,79
2023-03-21,6.2,0,21.0,Spring,80
2023-03-22,11.7,0,19.5,Spring,81
2023-03-23,13.7,0,20.7,Spring,82
2023-03-24,17.3,0,19.4,Spring,83
2023-03-25,11.6,0,21.2,Spring,84
2023-03-26,11.0,0,21.6,Spring,85
2023-03-27,12.1,0,21.2,Spring,86
2023-03-28,16.6,1,19.9,Spring,87
2023-03-29,15.1,1,16.9,Spring,88
2023-03-30,12.8,0,21.7,Spring,89
2023-03-31,16.2,1,19.0,Spring,90
2023-04-01,15.2,0,21.5,Spring,91
2023-04-02,18.1,1,16.2,Spring,92
2023-04-03,13.3,0,18.8,Spring,93
2023-04-04,14.7,0,20.4,Spring,94
2023-04-05,14.8,0,18.4,Spring,95
2023-04-06,11.8,0,20.8,Spring,96
2023-04-07,17.4,1,18.1,Spring,97
2023-04-08,17.5,1,17.1,Spring,98
2023-04-09,17.0,1,20.4,Spring,99
2023-04-10,16.5,1,20.1,Spring,100
2023-04-11,13.3,0,21.6,Spring,101
2023-04-12,16.5,0,21.2,Spring,102
2023-04-13,17.0,1,19.3,Spring,103
2023-04-14,15.9,0,20.6,Spring,104
2023-04-15,18.0,1,16.7,Spring,105
2023-04-16,20.0,1,19.4,Spring,106
2023-04-17,24.7,1,19.7,Spring,107
2023-04-18,19.8,1,17.1,Spring,108
2023-04-19,20.3,1,20.0,Spring,109
2023-04-20,19.5,0,19.1,Spring,110
2023-04-21,14.2,0,19.8,Spring,111
2023-04-22,20.2,1,19.7,Spring,112
2023-04-23,20.7,0,19.6,Spring,113
2023-04-24,28.1,1,18.6,Spring,114
2023-04-25,20.4,1,20.8,Spring,115
2023-04-26,22.1,1,20.4,Spring,116
2023-04-27,21.3,1,20.0,Spring,117
2023-04-28,18.2,0,19.5,Spring,118
2023-04-29,25.3,1,18.7,Spring,119
2023-04-30,24.4,0,16.7,Spring,120
2023-05-01,24.7,1,18.2,Spring,121
2023-05-02,19.8,1,18.3,Spring,122
2023-05-03,27.0,0,16.3,Spring,123
2023-05-04,18.8,1,17.1,Spring,124
2023-05-05,25.0,0,16.0,Spring,125
2023-05-06,30.0,1,18.0,Spring,126
2023-05-07,20.7,1,19.3,Spring,127
2023-05-08,22.2,0,20.0,Spring,128
2023-05-09,24.4,0,16.7,Spring,129
2023-05-10,22.8,1,21.3,Spring,130
2023-05-11,19.8,0,18.5,Spring,131
2023-05-12,24.9,1,18.5,Spring,132
2023-05-13,21.7,1,19.8,Spring,133
2023-05-14,26.5,0,18.7,Spring,134
2023-05-15,22.5,1,20.3,Spring,135
2023-05-16,30.1,0,15.2,Spring,136
2023-05-17,23.3,0,18.4,Spring,137
2023-05-18,24.8,0,18.0,Spring,138
2023-05-19,28.4,0,17.5,Spring,139
2023-05-20,22.5,1,20.5,Spring,140
2023-05-21,27.0,0,18.2,Spring,141
2023-05-22,30.4,0,15.9,Spring,142
2023-05-23,21.8,1,20.2,Spring,143
2023-05-24,27.4,0,17.9,Spring,144
2023-05-25,27.8,0,16.2,Spring,145
2023-05-26,29.5,0,17.2,Spring,146
2023-05-27,23.6,1,21.1,Spring,147
2023-05-28,23.5,1,20.2,Spring,148
2023-05-29,29.1,1,20.3,Spring,149
2023-05-30,28.6,1,18.5,Spring,150
2023-05-31,28.6,0,17.1,Spring,151
2023-06-01,29.0,0,16.5,Spring,152
2023-06-02,26.1,1,20.0,Spring,153
2023-06-03,28.9,0,18.3,Spring,154
2023-06-04,29.2,0,18.7,Spring,155
2023-06-05,26.3,1,20.6,Spring,156
2023-06-06,34.2,0,14.3,Spring,157
2023-06-07,30.1,0,15.7,Spring,158
2023-06-08,25.2,0,18.7,Spring,159
2023-06-09,30.9,0,14.8,Spring,160
2023-06-10,26.1,1,19.4,Spring,161
2023-06-11,31.4,0,15.7,Spring,162
2023-06-12,32.6,0,15.6,Spring,163
2023-06-13,26.8,0,17.8,Spring,164
2023-06-14,32.2,0,14.4,Spring,165
2023-06-15,30.6,0,16.8,Spring,166
2023-06-16,31.9,0,15.3,Spring,167
2023-06-17,35.2,0,14.4,Spring,168
2023-06-18,28.9,1,21.0,Spring,169
2023-06-19,27.4,0,16.8,Spring,170
2023-06-20,27.0,0,17.7,Spring,171
2023-06-21,27.3,0,17.7,Summer,172
2023-06-22,29.6,1,19.4,Summer,173
2023-06-23,30.9,0,14.8,Summer,174
2023-06-24,30.7,0,16.4,Summer,175
2023-06-25,32.4,0,16.7,Summer,176
2023-06-26,30.0,0,15.2,Summer,177
2023-06-27,34.3,0,14.8,Summer,178
2023-06-28,29.2,1,18.4,Summer,179
2023-06-29,38.1,0,16.7,Summer,180
2023-06-30,31.9,0,14.0,Summer,181
2023-07-01,27.4,0,16.5,Summer,182
2023-07-02,26.8,0,18.8,Summer,183
2023-07-03,31.4,0,15.8,Summer,184
2023-07-04,29.3,1,18.7,Summer,185
2023-07-05,32.1,0,15.7,Summer,186
2023-07-06,31.4,0,15.9,Summer,187
2023-07-07,29.7,0,17.7,Summer,188
2023-07-08,27.4,1,18.2,Summer,189
2023-07-09,25.3,0,16.1,Summer,190
2023-07-10,28.5,0,17.6,Summer,191
2023-07-11,32.4,0,17.0,Summer,192
2023-07-12,30.4,0,14.6,Summer,193
2023-07-13,26.0,0,17.4,Summer,194
2023-07-14,30.2,0,14.8,Summer,195
2023-07-15,30.8,0,16.8,Summer,196
2023-07-16,26.9,0,17.8,Summer,197
2023-07-17,29.9,0,17.1,Summer,198
2023-07-18,29.6,0,16.4,Summer,199
2023-07-19,25.9,1,19.9,Summer,200
2023-07-20,30.3,0,15.2,Summer,201
2023-07-21,30.8,0,15.7,Summer,202
2023-07-22,32.3,0,16.7,Summer,203
2023-07-23,32.1,0,15.0,Summer,204
2023-07-24,24.8,1,18.6,Summer,205
2023-07-25,26.0,1,18.7,Summer,206
2023-07-26,30.2,1,18.1,Summer,207
2023-07-27,30.1,0,14.1,Summer,208
2023-07-28,30.0,0,14.4,Summer,209
2023-07-29,39.9,0,16.5,Summer,210
2023-07-30,29.9,0,16.3,Summer,211
2023-07-31,31.5,0,16.8,Summer,212
2023-08-01,30.8,0,14.8,Summer,213
2023-08-02,29.8,1,18.8,Summer,214
2023-08-03,26.8,0,17.5,Summer,215
2023-08-04,29.9,0,18.1,Summer,216
2023-08-05,25.1,1,20.3,Summer,217
2023-08-06,26.6,0,16.1,Summer,218
2023-08-07,25.7,1,19.6,Summer,219
2023-08-08,27.2,0,17.1,Summer,220
2023-08-09,33.8,0,15.2,Summer,221
2023-08-10,21.1,0,18.0,Summer,222
2023-08-11,28.6,0,18.2,Summer,223
2023-08-12,21.5,1,21.4,Summer,224
2023-08-13,24.7,1,20.4,Summer,225
2023-08-14,29.3,1,21.0,Summer,226
2023-08-15,26.0,1,20.7,Summer,227
2023-08-16,22.4,1,19.5,Summer,228
2023-08-17,23.3,1,20.4,Summer,229
2023-08-18,27.3,1,18.5,Summer,230
2023-08-19,22.9,0,17.2,Summer,231
2023-08-20,25.5,1,19.6,Summer,232
2023-08-21,24.8,0,18.9,Summer,233
2023-08-22,22.5,1,20.1,Summer,234
2023-08-23,30.7,0,16.5,Summer,235
2023-08-24,26.0,0,18.0,Summer,236
2023-08-25,17.8,1,19.1,Summer,237
2023-08-26,24.2,1,19.4,Summer,238
2023-08-27,21.5,1,19.4,Summer,239
2023-08-28,25.8,0,16.1,Summer,240
2023-08-29,20.6,0,17.5,Summer,241
2023-08-30,22.5,0,19.7,Summer,242
2023-08-31,24.1,1,19.7,Summer,243
2023-09-01,24.9,0,16.1,Summer,244
2023-09-02,18.5,0,19.5,Summer,245
2023-09-03,20.9,1,20.6,Summer,246
2023-09-04,20.2,0,17.5,Summer,247
2023-09-05,19.5,1,17.3,Summer,248
2023-09-06,26.5,0,16.0,Summer,249
2023-09-07,22.2,1,19.3,Summer,250
2023-09-08,16.9,0,19.5,Summer,251
2023-09-09,23.2,1,19.0,Summer,252
2023-09-10,26.6,1,19.9,Summer,253
2023-09-11,23.1,1,20.0,Summer,254
2023-09-12,15.2,0,19.8,Summer,255
2023-09-13,18.1,0,17.6,Summer,256
2023-09-14,23.1,1,19.1,Summer,257
2023-09-15,16.9,0,19.8,Summer,258
2023-09-16,20.1,1,21.5,Summer,259
2023-09-17,20.8,1,20.2,Summer,260
2023-09-18,15.5,0,20.3,Summer,261
2023-09-19,17.8,1,20.3,Summer,262
2023-09-20,8.0,0,22.7,Summer,263
2023-09-21,14.4,1,18.3,Summer,264
2023-09-22,16.5,0,20.9,Summer,265
2023-09-23,13.3,0,21.3,Fall,266
2023-09-24,21.6,1,19.6,Fall,267
2023-09-25,12.2,0,21.5,Fall,268
2023-09-26,14.9,0,20.1,Fall,269
2023-09-27,16.4,0,21.3,Fall,270
2023-09-28,20.0,1,20.8,Fall,271
2023-09-29,11.1,0,20.0,Fall,272
2023-09-30,18.7,1,17.6,Fall,273
2023-10-01,15.0,0,20.4,Fall,274
2023-10-02,11.7,0,21.1,Fall,275
2023-10-03,15.8,1,19.8,Fall,276
2023-10-04,14.8,0,18.1,Fall,277
2023-10-05,12.1,0,20.9,Fall,278
2023-10-06,13.9,0,21.1,Fall,279
2023-10-07,12.2,0,20.8,Fall,280
2023-10-08,13.5,1,19.4,Fall,281
2023-10-09,14.9,0,18.2,Fall,282
2023-10-10,17.4,0,19.8,Fall,283
2023-10-11,8.7,0,22.1,Fall,284
2023-10-12,18.5,0,19.9,Fall,285
2023-10-13,6.0,0,21.4,Fall,286
2023-10-14,11.2,0,20.3,Fall,287
2023-10-15,13.1,0,21.2,Fall,288
2023-10-16,12.0,1,19.5,Fall,289
2023-10-17,9.0,0,21.1,Fall,290
2023-10-18,10.0,0,18.1,Fall,291
2023-10-19,8.9,1,19.7,Fall,292
2023-10-20,8.4,0,21.3,Fall,293
2023-10-21,12.4,0,20.9,Fall,294
2023-10-22,10.7,0,21.1,Fall,295
2023-10-23,7.3,0,23.1,Fall,296
2023-10-24,11.9,0,22.0,Fall,297
2023-10-25,9.8,0,20.4,Fall,298
2023-10-26,11.1,0,20.3,Fall,299
2023-10-27,10.3,0,21.7,Fall,300
2023-10-28,5.7,0,20.8,Fall,301
2023-10-29,6.3,0,21.6,Fall,302
2023-10-30,10.0,0,20.3,Fall,303
2023-10-31,9.4,0,23.4,Fall,304
2023-11-01,7.3,0,20.2,Fall,305
2023-11-02,7.4,0,22.4,Fall,306
2023-11-03,10.7,1,18.5,Fall,307
2023-11-04,4.9,0,23.9,Fall,308
2023-11-05,8.1,0,23.2,Fall,309
2023-11-06,5.6,0,21.1,Fall,310
2023-11-07,5.4,0,22.8,Fall,311
2023-11-08,9.1,0,23.1,Fall,312
2023-11-09,8.1,0,22.9,Fall,313
2023-11-10,7.9,0,23.3,Fall,314
2023-11-11,9.1,0,23.6,Fall,315
2023-11-12,5.1,0,20.4,Fall,316
2023-11-13,6.9,0,20.4,Fall,317
2023-11-14,3.7,0,23.2,Fall,318
2023-11-15,5.4,0,21.0,Fall,319
2023-11-16,3.9,0,20.2,Fall,320
2023-11-17,4.4,0,21.6,Fall,321
2023-11-18,5.7,0,23.3,Fall,322
2023-11-19,1.3,0,20.5,Fall,323
2023-11-20,9.9,0,22.7,Fall,324
2023-11-21,0.4,0,20.0,Fall,325
2023-11-22,-0.4,0,20.4,Fall,326
2023-11-23,6.6,0,21.4,Fall,327
2023-11-24,5.3,0,20.3,Fall,328
2023-11-25,4.7,0,23.4,Fall,329
2023-11-26,4.5,0,23.5,Fall,330
2023-11-27,2.5,0,23.0,Fall,331
2023-11-28,-0.3,0,21.0,Fall,332
2023-11-29,2.4,0,22.1,Fall,333
2023-11-30,0.1,0,20.7,Fall,334
2023-12-01,4.9,0,21.1,Fall,335
2023-12-02,1.4,0,22.1,Fall,336
2023-12-03,-0.8,0,22.9,Fall,337
2023-12-04,0.6,0,20.4,Fall,338
2023-12-05,2.7,0,21.2,Fall,339
2023-12-06,-0.3,0,23.7,Fall,340
2023-12-07,-1.2,0,21.7,Fall,341
2023-12-08,1.9,0,23.8,Fall,342
2023-12-09,1.8,0,24.0,Fall,343
2023-12-10,-0.6,0,22.1,Fall,344
2023-12-11,-0.5,0,21.2,Fall,345
2023-12-12,1.5,0,23.2,Fall,346
2023-12-13,-3.6,0,20.6,Fall,347
2023-12-14,-3.6,0,21.0,Fall,348
2023-12-15,-1.6,0,23.1,Fall,349
2023-12-16,-0.1,0,21.7,Fall,350
2023-12-17,1.4,0,20.8,Fall,351
2023-12-18,4.8,0,22.6,Fall,352
2023-12-19,2.9,0,22.9,Fall,353
2023-12-20,-0.2,0,20.5,Fall,354
2023-12-21,0.2,0,21.1,Winter,355
2023-12-22,-2.8,0,20.9,Winter,356
2023-12-23,0.1,0,21.5,Winter,357
2023-12-24,-0.8,0,23.1,Winter,358
2023-12-25,1.0,0,22.9,Winter,359
2023-12-26,-2.4,0,22.7,Winter,360
2023-12-27,1.6,0,20.0,Winter,361
2023-12-28,4.6,0,20.6,Winter,362
2023-12-29,-0.3,0,20.9,Winter,363
2023-12-30,1.2,0,21.1,Winter,364
2023-12-31,2.1,0,20.6,Winter,365
2023-01-01,-1.2,0,21.6,Winter,1
2023-01-02,0.7,0,20.3,Winter,2
2023-01-03,0.1,0,23.0,Winter,3
2023-01-04,0.3,0,23.2,Winter,4
2023-01-05,-2.3,0,22.3,Winter,5
2023-01-06,0.2,0,20.4,Winter,6
2023-01-07,1.6,0,23.6,Winter,7
2023-01-08,4.5,0,23.9,Winter,8
2023-01-09,3.1,0,20.8,Winter,9
2023-01-10,6.7,0,22.8,Winter,10
2023-01-11,-2.0,0,23.4,Winter,11
2023-01-12,2.9,0,22.2,Winter,12
2023-01-13,0.9,0,21.3,Winter,13
2023-01-14,7.0,0,21.9,Winter,14
2023-01-15,-1.9,0,22.0,Winter,15
2023-01-16,-2.0,0,21.6,Winter,16
2023-01-17,-1.2,0,23.7,Winter,17
2023-01-18,-5.7,0,23.0,Winter,18
2023-01-19,-0.8,0,21.0,Winter,19
2023-01-20,-1.4,0,22.3,Winter,20
2023-01-21,1.4,0,22.8,Winter,21
2023-01-22,2.1,0,20.6,Winter,22
2023-01-23,6.8,0,21.4,Winter,23
2023-01-24,4.1,0,23.6,Winter,24
2023-01-25,-0.4,0,22.3,Winter,25
2023-01-26,-1.2,0,20.9,Winter,26
2023-01-27,3.1,0,20.5,Winter,27
2023-01-28,-2.3,0,22.1,Winter,28
2023-01-29,7.3,0,22.2,Winter,29
2023-01-30,5.5,0,21.3,Winter,30
2023-01-31,0.7,0,22.5,Winter,31
2023-02-01,-2.9,0,20.3,Winter,32
2023-02-02,6.4,0,20.6,Winter,33
2023-02-03,2.2,0,22.2,Winter,34
2023-02-04,6.4,0,20.2,Winter,35
2023-02-05,-2.0,0,23.5,Winter,36
2023-02-06,1.1,0,20.6,Winter,37
2023-02-07,3.1,0,22.7,Winter,38
2023-02-08,3.4,0,21.6,Winter,39
2023-02-09,2.1,0,21.6,Winter,40
2023-02-10,5.5,0,23.1,Winter,41
2023-02-11,0.5,0,22.0,Winter,42
2023-02-12,3.5,0,22.9,Winter,43
2023-02-13,4.5,0,22.0,Winter,44
2023-02-14,5.8,0,22.4,Winter,45
2023-02-15,6.6,0,23.0,Winter,46
2023-02-16,1.3,0,22.4,Winter,47
2023-02-17,0.2,0,22.5,Winter,48
2023-02-18,8.9,0,23.2,Winter,49
2023-02-19,6.2,0,23.8,Winter,50
2023-02-20,3.2,0,21.5,Winter,51
2023-02-21,10.3,0,18.2,Winter,52
2023-02-22,6.2,0,20.3,Winter,53
2023-02-23,9.6,0,21.4,Winter,54
2023-02-24,6.4,0,21.6,Winter,55
2023-02-25,12.6,0,21.2,Winter,56
2023-02-26,11.9,0,20.7,Winter,57
2023-02-27,6.1,0,22.9,Winter,58
2023-02-28,10.0,0,18.6,Winter,59
2023-03-01,9.3,0,21.9,Winter,60
2023-03-02,11.6,0,19.1,Winter,61
2023-03-03,4.9,0,20.9,Winter,62
2023-03-04,10.0,1,20.2,Winter,63
2023-03-05,11.4,0,19.2,Winter,64
2023-03-06,3.2,0,22.8,Winter,65
2023-03-07,5.1,0,21.8,Winter,66
2023-03-08,2.8,0,21.8,Winter,67
2023-03-09,8.3,0,22.7,Winter,68
2023-03-10,11.5,0,19.3,Winter,69
2023-03-11,14.1,0,20.5,Winter,70
2023-03-12,10.1,0,21.9,Winter,71
2023-03-13,15.0,0,20.2,Winter,72
2023-03-14,6.2,0,22.6,Winter,73
2023-03-15,5.5,0,23.3,Winter,74
2023-03-16,10.7,0,21.4,Winter,75
2023-03-17,12.3,1,16.7,Winter,76
2023-03-18,11.3,0,21.6,Winter,77
2023-03-19,5.4,0,20.5,Winter,78
2023-03-20,11.6,0,18.7,Winter,79
2023-03-21,8.2,0,23.5,Spring,80
2023-03-22,14.4,0,22.0,Spring,81
2023-03-23,13.7,0,19.2,Spring,82
2023-03-24,10.1,0,19.1,Spring,83
2023-03-25,11.6,0,18.5,Spring,84
2023-03-26,10.2,0,20.4,Spring,85
2023-03-27,13.5,1,16.9,Spring,86
2023-03-28,16.8,0,21.1,Spring,87
2023-03-29,11.2,0,21.7,Spring,88
2023-03-30,15.9,0,21.7,Spring,89
2023-03-31,13.1,0,18.4,Spring,90
2023-04-01,12.6,0,20.2,Spring,91
2023-04-02,14.9,0,18.4,Spring,92
2023-04-03,12.3,0,20.3,Spring,93
2023-04-04,14.0,0,21.3,Spring,94
2023-04-05,12.4,0,20.2,Spring,95
2023-04-06,22.1,0,19.9,Spring,96
2023-04-07,16.6,0,21.2,Spring,97
2023-04-08,14.6,0,19.1,Spring,98
2023-04-09,17.6,0,20.5,Spring,99
2023-04-10,16.9,1,16.5,Spring,100
2023-04-11,16.8,0,19.6,Spring,101
2023-04-12,19.6,0,19.0,Spring,102
2023-04-13,20.3,0,19.0,Spring,103
2023-04-14,16.7,1,18.1,Spring,104
2023-04-15,16.8,0,20.6,Spring,105
2023-04-16,17.9,0,20.9,Spring,106
2023-04-17,12.1,0,21.1,Spring,107
2023-04-18,14.7,1,19.4,Spring,108
2023-04-19,23.6,1,19.7,Spring,109
2023-04-20,24.7,1,18.6,Spring,110
2023-04-21,19.3,1,15.9,Spring,111
2023-04-22,22.0,1,19.9,Spring,112
2023-04-23,21.4,0,18.2,Spring,113
2023-04-24,30.0,1,18.3,Spring,114
2023-04-25,24.3,1,20.2,Spring,115
2023-04-26,20.8,0,18.2,Spring,116
2023-04-27,18.6,0,19.3,Spring,117
2023-04-28,16.8,0,18.7,Spring,118
2023-04-29,22.5,1,19.3,Spring,119
2023-04-30,19.9,1,18.0,Spring,120
2023-05-01,18.1,1,18.3,Spring,121
2023-05-02,20.6,1,21.1,Spring,122
2023-05-03,19.6,1,18.5,Spring,123
2023-05-04,28.1,0,18.7,Spring,124
2023-05-05,25.9,1,19.4,Spring,125
2023-05-06,23.4,0,19.0,Spring,126
2023-05-07,28.1,0,18.4,Spring,127
2023-05-08,24.1,1,19.9,Spring,128
2023-05-09,21.5,1,20.5,Spring,129
2023-05-10,28.8,0,18.7,Spring,130
2023-05-11,26.1,1,18.9,Spring,131
2023-05-12,21.6,1,21.1,Spring,132
2023-05-13,24.3,1,19.8,Spring,133
2023-05-14,22.4,1,20.6,Spring,134
2023-05-15,21.1,1,20.5,Spring,135
2023-05-16,28.2,0,18.1,Spring,136
2023-05-17,31.4,0,16.4,Spring,137
2023-05-18,21.6,1,21.6,Spring,138
2023-05-19,27.7,0,16.8,Spring,139
2023-05-20,24.2,1,20.2,Spring,140
2023-05-21,24.9,0,18.3,Spring,141
2023-05-22,24.7,1,20.5,Spring,142
2023-05-23,24.1,0,17.5,Spring,143
2023-05-24,27.0,1,19.5,Spring,144
2023-05-25,24.5,1,18.3,Spring,145
2023-05-26,27.9,0,18.6,Spring,146
2023-05-27,27.1,0,17.6,Spring,147
2023-05-28,26.7,0,17.8,Spring,148
2023-05-29,24.9,1,18.4,Spring,149
2023-05-30,26.0,1,19.8,Spring,150
2023-05-31,30.1,0,15.2,Spring,151
2023-06-01,29.5,0,18.8,Spring,152
2023-06-02,25.2,0,18.6,Spring,153
2023-06-03,28.5,0,16.6,Spring,154
2023-06-04,30.6,1,16.7,Spring,155
2023-06-05,23.5,0,19.6,Spring,156
2023-06-06,30.2,1,17.6,Spring,157
2023-06-07,26.7,1,20.3,Spring,158
2023-06-08,30.5,0,16.5,Spring,159
2023-06-09,26.6,0,17.1,Spring,160
2023-06-10,23.6,1,19.3,Spring,161
2023-06-11,24.2,1,19.7,Spring,162
2023-06-12,29.3,1,20.3,Spring,163
2023-06-13,30.0,1,17.9,Spring,164
2023-06-14,26.6,0,16.7,Spring,165
2023-06-15,31.3,0,16.1,Spring,166
2023-06-16,24.5,1,20.3,Spring,167
2023-06-17,29.3,0,16.6,Spring,168
2023-06-18,26.0,0,18.6,Spring,169
2023-06-19,27.7,0,16.4,Spring,170
2023-06-20,29.8,1,18.3,Spring,171
2023-06-21,27.2,0,17.1,Summer,172
2023-06-22,28.6,1,20.7,Summer,173
2023-06-23,32.9,0,14.3,Summer,174
2023-06-24,28.1,1,19.2,Summer,175
2023-06-25,32.4,0,16.2,Summer,176
2023-06-26,26.5,1,20.1,Summer,177
2023-06-27,31.5,0,16.3,Summer,178
2023-06-28,34.3,0,16.6,Summer,179
2023-06-29,22.6,1,19.2,Summer,180
2023-06-30,27.6,1,18.3,Summer,181
2023-07-01,31.7,0,16.6,Summer,182
2023-07-02,29.4,0,16.8,Summer,183
2023-07-03,31.1,0,16.4,Summer,184
2023-07-04,28.2,0,16.1,Summer,185
2023-07-05,30.2,1,16.2,Summer,186
2023-07-06,29.5,0,17.5,Summer,187
2023-07-07,33.4,0,16.9,Summer,188
2023-07-08,30.7,1,16.5,Summer,189
2023-07-09,30.9,0,16.6,Summer,190
2023-07-10,28.6,1,19.3,Summer,191
2023-07-11,28.3,0,17.4,Summer,192
2023-07-12,28.5,0,18.6,Summer,193
2023-07-13,30.9,0,15.5,Summer,194
2023-07-14,28.4,1,20.8,Summer,195
2023-07-15,30.5,0,16.8,Summer,196
2023-07-16,35.8,0,16.7,Summer,197
2023-07-17,32.1,0,14.4,Summer,198
2023-07-18,28.4,0,16.8,Summer,199
2023-07-19,32.9,0,15.4,Summer,200
2023-07-20,28.0,0,18.7,Summer,201
2023-07-21,23.0,1,20.5,Summer,202
2023-07-22,26.1,0,17.0,Summer,203
2023-07-23,23.4,1,21.6,Summer,204
2023-07-24,27.8,1,18.2,Summer,205
2023-07-25,28.8,1,19.7,Summer,206
2023-07-26,33.7,1,17.9,Summer,207
2023-07-27,29.6,0,16.5,Summer,208
2023-07-28,27.8,0,16.2,Summer,209
2023-07-29,30.8,0,15.4,Summer,210
2023-07-30,21.6,0,17.2,Summer,211
2023-07-31,28.8,1,19.5,Summer,212
2023-08-01,30.3,0,15.3,Summer,213
2023-08-02,23.4,1,20.2,Summer,214
2023-08-03,31.1,0,17.0,Summer,215
2023-08-04,28.6,0,17.4,Summer,216
2023-08-05,26.2,0,18.2,Summer,217
2023-08-06,29.2,0,18.7,Summer,218
2023-08-07,33.9,0,15.6,Summer,219
2023-08-08,27.5,0,16.1,Summer,220
2023-08-09,27.6,0,18.7,Summer,221
2023-08-10,25.3,1,20.9,Summer,222
2023-08-11,24.0,1,19.3,Summer,223
2023-08-12,28.8,0,17.4,Summer,224
2023-08-13,23.6,1,21.5,Summer,225
2023-08-14,26.2,0,17.4,Summer,226
2023-08-15,24.4,1,18.9,Summer,227
2023-08-16,27.1,1,21.0,Summer,228
2023-08-17,26.4,0,16.6,Summer,229
2023-08-18,28.4,0,17.1,Summer,230
2023-08-19,23.5,0,17.3,Summer,231
2023-08-20,24.1,1,19.0,Summer,232
2023-08-21,21.7,0,19.6,Summer,233
2023-08-22,23.1,1,20.8,Summer,234
2023-08-23,25.4,0,17.5,Summer,235
2023-08-24,26.3,1,20.7,Summer,236
2023-08-25,21.1,0,18.7,Summer,237
2023-08-26,26.3,0,16.4,Summer,238
2023-08-27,27.5,0,18.8,Summer,239
